Id,MemberId,LoanAmount,TransactionDate,MaturityDate,LoanStatus,InitialInterestAmount,ProductId,RepaymentAmount,RepaymentDate,RepaymentType
36,33,1000.0,2024-11-27 10:16:07.701361+00:00,2024-11-28 00:00:00+00:00,fully_settled,125.0,1,1125.0,2025-01-27 15:21:40.475429+00:00,allocation_repayment
35,33,1000.0,2024-11-27 10:15:16.170251+00:00,2024-11-28 00:00:00+00:00,fully_settled,125.0,1,1125.0,2025-01-27 15:21:57.954117+00:00,allocation_repayment
415,7,500.0,2025-01-27 16:13:22.927823+00:00,2025-01-28 00:00:00+00:00,fully_settled,62.5,1,1.0,2025-01-28 10:24:00.844514+00:00,allocation_repayment
247,23,2000.0,2024-12-28 08:20:48.589711+00:00,2025-01-28 00:00:00+00:00,fully_settled,250.0,1,10.0,2025-01-28 10:27:39.429512+00:00,self_loan_repayment
247,23,2000.0,2024-12-28 08:20:48.589711+00:00,2025-01-28 00:00:00+00:00,fully_settled,250.0,1,1.0,2025-01-28 10:37:07.006078+00:00,allocation_repayment
244,68,5000.0,2024-12-26 13:45:13.106203+00:00,2025-01-14 00:00:00+00:00,fully_settled,925.0,4,5925.0,2025-01-29 10:41:56.328305+00:00,allocation_repayment
350,94,3500.0,2025-01-14 14:54:49.291354+00:00,2025-02-14 00:00:00+00:00,fully_settled,647.5,4,4147.5,2025-02-01 10:58:38.659569+00:00,allocation_repayment
291,54,5000.0,2025-01-04 07:34:43.856875+00:00,2025-01-14 00:00:00+00:00,fully_settled,925.0,4,5925.0,2025-02-02 12:55:51.746445+00:00,allocation_repayment
301,73,6000.0,2025-01-04 10:27:41.895835+00:00,2025-01-14 00:00:00+00:00,fully_settled,1110.0,4,7110.0,2025-02-02 12:57:34.001572+00:00,allocation_repayment
295,47,4500.0,2025-01-04 07:53:52.931901+00:00,2025-01-14 00:00:00+00:00,fully_settled,832.5,4,5332.5,2025-02-02 13:01:47.860587+00:00,allocation_repayment
349,49,500.0,2025-01-12 10:22:03.871638+00:00,2025-01-14 00:00:00+00:00,fully_settled,92.5,4,592.5,2025-02-02 16:23:07.733161+00:00,allocation_repayment
347,49,1000.0,2025-01-11 09:23:58.264678+00:00,2025-01-14 00:00:00+00:00,fully_settled,185.0,4,1185.0,2025-02-02 16:25:04.978763+00:00,allocation_repayment
300,71,1500.0,2025-01-04 10:27:04.349255+00:00,2025-01-14 00:00:00+00:00,fully_settled,277.5,4,1777.5,2025-02-03 12:06:08.016355+00:00,allocation_repayment
299,74,7000.0,2025-01-04 09:07:11.347803+00:00,2025-01-14 00:00:00+00:00,fully_settled,1295.0,4,8295.0,2025-02-03 12:06:33.044850+00:00,allocation_repayment
321,63,3000.0,2025-01-07 07:19:09.469762+00:00,2025-01-14 00:00:00+00:00,fully_settled,555.0,4,3555.0,2025-02-03 12:05:21.854379+00:00,allocation_repayment
293,55,6000.0,2025-01-04 07:50:34.097550+00:00,2025-01-14 00:00:00+00:00,fully_settled,1110.0,4,7110.0,2025-02-03 11:03:30.004143+00:00,allocation_repayment
346,49,500.0,2025-01-11 06:06:37.082387+00:00,2025-01-14 00:00:00+00:00,fully_settled,92.5,4,592.5,2025-02-03 11:06:24.579343+00:00,allocation_repayment
292,60,5000.0,2025-01-04 07:35:20.820084+00:00,2025-01-14 00:00:00+00:00,fully_settled,925.0,4,5925.0,2025-02-03 11:04:05.296392+00:00,allocation_repayment
348,49,500.0,2025-01-12 07:30:53.797477+00:00,2025-01-14 00:00:00+00:00,fully_settled,92.5,4,592.5,2025-02-03 13:26:17.440901+00:00,allocation_repayment
344,62,6000.0,2025-01-10 15:50:46.355816+00:00,2025-01-14 00:00:00+00:00,fully_settled,1110.0,4,7110.0,2025-02-03 13:26:47.579453+00:00,allocation_repayment
342,75,2500.0,2025-01-10 11:29:59.881097+00:00,2025-01-14 00:00:00+00:00,fully_settled,462.5,4,2962.5,2025-02-03 13:39:11.515664+00:00,allocation_repayment
327,71,400.0,2025-01-08 09:50:29.019243+00:00,2025-01-14 00:00:00+00:00,fully_settled,74.0,4,474.0,2025-02-03 13:40:47.011210+00:00,allocation_repayment
324,69,2000.0,2025-01-07 14:28:22.857148+00:00,2025-01-14 00:00:00+00:00,fully_settled,370.0,4,2370.0,2025-02-03 13:41:04.364585+00:00,allocation_repayment
323,88,1000.0,2025-01-07 13:35:11.742919+00:00,2025-01-14 00:00:00+00:00,fully_settled,185.0,4,1185.0,2025-02-03 13:41:27.542882+00:00,allocation_repayment
322,88,5000.0,2025-01-07 13:33:03.327525+00:00,2025-01-14 00:00:00+00:00,fully_settled,925.0,4,5925.0,2025-02-03 13:41:49.288795+00:00,allocation_repayment
320,49,2500.0,2025-01-07 05:39:19.025342+00:00,2025-01-14 00:00:00+00:00,fully_settled,462.5,4,2962.5,2025-02-03 13:42:40.496030+00:00,allocation_repayment
306,79,1000.0,2025-01-05 20:09:49.866502+00:00,2025-01-14 00:00:00+00:00,fully_settled,185.0,4,1185.0,2025-02-03 13:43:05.795152+00:00,allocation_repayment
304,79,1000.0,2025-01-05 15:03:50.028734+00:00,2025-01-14 00:00:00+00:00,fully_settled,185.0,4,1185.0,2025-02-03 13:43:23.947816+00:00,allocation_repayment
303,76,4000.0,2025-01-05 08:24:05.071682+00:00,2025-01-14 00:00:00+00:00,fully_settled,740.0,4,4740.0,2025-02-03 13:43:48.728623+00:00,allocation_repayment
302,71,100.0,2025-01-04 11:45:32.375613+00:00,2025-01-14 00:00:00+00:00,fully_settled,18.5,4,118.5,2025-02-03 13:44:03.801361+00:00,allocation_repayment
